NS                  NAME                                                          TYPE                             OWNER    HELM
aeq                 acr-pull-secret                                               kubernetes.io/dockerconfigjson   <none>   <none>
aeq                 aeq-postgres                                                  Opaque                           <none>   <none>
aeq                 aeq-secrets                                                   Opaque                           <none>   <none>
aeq                 aeq-tls                                                       kubernetes.io/tls                <none>   <none>
app-staging         a5c-app-jaeger-tls                                            kubernetes.io/tls                <none>   <none>
app-staging         a5c-app-pg-secret                                             Opaque                           <none>   <none>
app-staging         a5c-app-redis                                                 Opaque                           <none>   <none>
app-staging         a5c-app-secret                                                Opaque                           <none>   <none>
app-staging         app-azure-ssl-certificate                                     kubernetes.io/tls                <none>   <none>
app-staging         app-secret                                                    Opaque                           <none>   <none>
app                 a5c-app-pg-secret                                             Opaque                           <none>   <none>
app                 a5c-app-redis                                                 Opaque                           <none>   <none>
app                 a5c-app-secret                                                Opaque                           <none>   <none>
app                 app-azure-ssl-certificate                                     kubernetes.io/tls                <none>   <none>
arc-runners         github-secret                                                 Opaque                           <none>   <none>
arc-runners         sh.helm.release.v1.hub-dev-runners.v1                         helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v10                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v11                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v12                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v13                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v14                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v15                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v16                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v17                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v18                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v19                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v2                         helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v20                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v21                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v22                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v23                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v24                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v25                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v26                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v27                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v28                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v29                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v3                         helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v30                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v31                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v32                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v33                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v34                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v35                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v36                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v37                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v38                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v39                        helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v4                         helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v5                         helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v6                         helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v7                         helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v8                         helm.sh/release.v1               <none>   helm
arc-runners         sh.helm.release.v1.hub-dev-runners.v9                         helm.sh/release.v1               <none>   helm
arc-systems         hub-dev-runners-754b578d-listener-config                      Opaque                           <none>   <none>
arc-systems         sh.helm.release.v1.arc-controller.v1                          helm.sh/release.v1               <none>   helm
arc-systems         sh.helm.release.v1.arc-controller.v2                          helm.sh/release.v1               <none>   helm
arc-systems         sh.helm.release.v1.arc-controller.v3                          helm.sh/release.v1               <none>   helm
arc-systems         sh.helm.release.v1.arc-controller.v4                          helm.sh/release.v1               <none>   helm
atlas-staging       acr-pull                                                      kubernetes.io/dockerconfigjson   <none>   <none>
atlas-staging       atlas-auth                                                    Opaque                           <none>   <none>
atlas-staging       atlas-postgres                                                Opaque                           <none>   <none>
atlas-staging       atlas-postgres-azure-file                                     Opaque                           <none>   <none>
atlas-staging       atlas-webui-auth                                              Opaque                           <none>   <none>
atlas-staging       atlas-webui-tls                                               kubernetes.io/tls                <none>   <none>
atlas               acr-pull                                                      kubernetes.io/dockerconfigjson   <none>   <none>
atlas               atlas-auth                                                    Opaque                           <none>   <none>
atlas               atlas-postgres                                                Opaque                           <none>   <none>
atlas               atlas-postgres-azure-file                                     Opaque                           <none>   <none>
atlas               atlas-webui-tls                                               kubernetes.io/tls                <none>   <none>
cert-manager        cert-manager-webhook-ca                                       Opaque                           <none>   <none>
cert-manager        letsencrypt-prod-account-key                                  Opaque                           <none>   <none>
cert-manager        letsencrypt-production                                        Opaque                           <none>   <none>
cert-manager        letsencrypt-staging                                           Opaque                           <none>   <none>
cert-manager        sh.helm.release.v1.cert-manager.v1                            helm.sh/release.v1               <none>   helm
content-studio      acr-pull                                                      kubernetes.io/dockerconfigjson   <none>   <none>
content-studio      content-studio-azure-file                                     Opaque                           <none>   <none>
content-studio      content-studio-postgres                                       Opaque                           <none>   <none>
content-studio      content-studio-secrets                                        Opaque                           <none>   <none>
content-studio      content-studio-tls                                            kubernetes.io/tls                <none>   <none>
gatekeeper-system   gatekeeper-webhook-server-cert                                Opaque                           <none>   <none>
hub-development     acr-auth                                                      kubernetes.io/dockerconfigjson   <none>   <none>
hub-development     azure-storage-account-fc3e7eef89d6645fbae772d-secret          Opaque                           <none>   <none>
hub-development     hub-azure-ssl-certificate                                     kubernetes.io/tls                <none>   <none>
hub-development     hub-secrets                                                   Opaque                           <none>   <none>
ingress-nginx       ingress-nginx-admission                                       Opaque                           <none>   <none>
ingress-nginx       sh.helm.release.v1.ingress-nginx.v1                           helm.sh/release.v1               <none>   helm
